Title,Type,Country,Genre,Watch Status,Rate,Notes
{rudy Habibie},Movie,Indonesia,Realistic Fiction,Completed,3,
#alive,Movie,Korea,Thriller,Completed,3,
#temantapimenikah,Movie,Indonesia,Romance,Completed,3,
13 going on to 30,Movie,USA,Romance,Completed,2,
2012,Movie,Europe,Thriller,Completed,5,
2037,Movie,Korea,Romance,Completed,3,
20th Century Girl,Movie,Korea,Romance,Completed,4,
3 Idiots,Movie,India,Friendship,Completed,3,
365 Days,Movie,Europe,Romance,Completed,3,
5 Cm,Movie,Indonesia,Friendship,Completed,4,
6/45,Movie,Korea,Comedy,Completed,4,
A Bug's Life,Animation,USA,Kids,Completed,3,
A List to Playlist,Reality Show,Korea,Musical,Completed,5,
A Quiet Place,Movie,USA,Thriller,Completed,3,
A Quiet Place Part Ii,Movie,USA,Thriller,Completed,3,
A Silent Voice,Anime,Japan,Romance,Completed,3,
About Time,Drama ,Korea,Romance,Completed,3,
Ada Apa Dengan Cinta,Movie,Indonesia,"Romance, Teenagers",Completed,4,
Ada Apa Dengan Cinta 2,Movie,Indonesia,"Romance, Teenagers",Completed,3,
Agak Laen,Movie,Indonesia,"Horor, Comedy",Completed,4,
All Of Us Are Dead,Drama ,Korea,Thriller,On Going,,
Along With The Gods,Movie,Korea,Drama,Completed,3,
Anabelle,Movie,USA,Horor,Completed,4,
Angel's Last Mission,Drama ,Korea,Romance,On Going,,
Angry Mom,Drama ,Korea,Drama,Completed,2,
Anna,Drama ,Korea,Drama,Completed,3,
Ant Man,Movie,USA,Action,Completed,3,
Ant-man And The Wasp,Movie,USA,Action,Completed,3,
Ant-man And The Wasp : Quantumania,Movie,USA,Action,Completed,3,
Aquaman,Movie,USA,Action,Completed,3,
Are You Human Too,Drama ,Korea,Romance,Completed,4,
Ashfall,Movie,Korea,Thriller,Completed,3,
Assassination Classroom,Anime,Japan,Shounen,Completed,4,
Attack On Titan Final Season,Anime,Japan,Shounen,Completed,5,
Attack On Titan The Series,Anime,Japan,Shounen,Completed,5,
Avatar,Movie,USA,Action,Completed,3,
Avatar : The Last Airbender,Animation,USA,Action,Completed,4,
Avatar : The Way Of Water,Movie,USA,Action,Completed,3,
Avengers : Endgame,Movie,USA,Action,Completed,5,
Avengers : Infinity War,Movie,USA,Action,Completed,5,
Backstreet Rooki,Drama ,Korea,Romance,Completed,2,
Bad Genius,Movie,Thailand,Drama,Completed,3,
Ballerina,Movie,Korea,Action,Completed,3,
Bangku Kosong,Movie,Indonesia,Horor,Completed,2,
Batman Begins,Movie,USA,Action,Completed,3,
Beyond Evil,Drama ,Korea,Drama,Completed,2,
Big Mouth,Drama ,Korea,Drama,On Going,,
Black Clover,Anime,Japan,Shounen,Completed,5,
Black Phanter,Movie,USA,Action,Completed,3,
Black Phanter : Wakanda Forever,Movie,USA,Action,Completed,3,
Black Widow,Movie,USA,Action,Completed,3,
Boboiboy The Movie,Movie,Malaysia,Kids,Completed,3,
Boruto,Anime,Japan,Shounen,Completed,5,
Boss Baby : Christmas Bonus,Movie,USA,Kids,Completed,3,
Bride Wars,Movie,Europe,Friendship,Completed,3,
Bring It Ghost On You,Drama ,Korea,Horor,Completed,2,
Bussines Proposal,Drama ,Korea,Romance,Completed,5,
Call,Movie,Korea,Thriller,Completed,3,
Captain America,Movie,USA,Action,Completed,3,
Captain America : Civil War,Movie,USA,Action,Completed,4,
Captain Marvel,Movie,USA,Action,Completed,3,
Cars,Animation,USA,Kids,Completed,4,
Chainsaw Man,Anime,Japan,Shounen,On Going,,
Chese In The Trap,Drama ,Korea,Drama,Completed,3,
Chicken Nugget ,Drama ,Korea,Drama,On Going,,
Christmas Chronicle,Movie,USA,Kids,Completed,5,
Christmas Chronicles Part 2,Movie,USA,Kids,Completed,3,
